Store id,Cogs,Date,Market Size,Regional Performance,Marketing,Product Line,Product Type,Product,Profit,Sales,State,Target COGS,Target Profit,Target Sales,Other Expenses,Total Sales,Total Profit,ProftMargin,Marketing spend,Actual Variance,Cost of Goods Sold (COGS), ROI on Marketing,Product Category,COGS overview, Revenue (Sales)
303,51,01-10-2012,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-5,122,Colorado,30,30,90,76,#REF!,#REF!,-4%,46,32,21,-0.108695652,Low Profit,51,122
970,52,01-10-2012,Major Market,Central,17,Leaves,Herbal Tea,Mint,26,123,Colorado,30,50,90,45,#REF!,#REF!,21%,17,33,22,1.529411765,Low Profit,52,123
409,43,01-10-2012,Major Market,South,13,Leaves,Herbal Tea,Lemon,28,107,Texas,30,50,90,36,#REF!,#REF!,26%,13,17,13,2.153846154,Low Profit,43,107
850,38,01-10-2012,Major Market,East,10,Leaves,Tea,Darjeeling,35,94,Florida,40,50,100,21,#REF!,#REF!,37%,10,-6,-2,3.5,Low Profit,38,94
562,72,01-10-2012,Major Market,West,23,Leaves,Tea,Green Tea,56,182,California,20,50,80,54,#REF!,#REF!,31%,23,102,52,2.434782609,Low Profit,72,182
712,0,01-10-2012,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,60,60,12,#REF!,#REF!,72%,0,-17,0,#DIV/0!,Low Profit,0,43
860,47,01-10-2012,Small Market,East,15,Beans,Espresso,Decaf Espresso,21,111,Connecticut,30,50,90,43,#REF!,#REF!,19%,15,21,17,1.4,Low Profit,47,111
918,27,01-10-2012,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,30,60,90,18,#REF!,#REF!,32%,7,-24,-3,3,Low Profit,27,66
775,31,01-10-2012,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30,50,90,30,#REF!,#REF!,10%,9,-22,1,0.777777778,Low Profit,31,68
435,40,01-10-2012,Small Market,West,11,Beans,Espresso,Decaf Espresso,37,99,Utah,20,60,80,22,#REF!,#REF!,37%,11,19,20,3.363636364,Low Profit,40,99
